Rank,Population Density (per sq mi),County,State,Population
1,9466.6,Alexandria City,VA,146422
2,8445.9,Arlington,VA,220173
3,6541.0,Falls Church City,VA,13074
4,5914.6,Manassas Park City,VA,14992
5,4338.2,Charlottesville City,VA,44505
6,4068.8,Manassas City,VA,40436
7,3745.6,Fairfax City,VA,23507
8,3379.1,Richmond City,VA,211063
9,2921.1,Winchester City,VA,27031
10,2908.1,Harrisonburg City,VA,50821
11,2819.3,Lexington City,VA,7114
12,2749.7,Fairfax,VA,1117072
13,2540.1,Norfolk City,VA,244745
14,2533.8,Fredericksburg City,VA,26632
15,2283.0,Roanoke City,VA,97949
16,2245.5,Colonial Heights City,VA,17542
17,2071.3,Hopewell City,VA,22375
18,2054.4,Portsmouth City,VA,96007
19,1727.8,Salem,VA,25120
20,1664.9,Radford,VA,16993
21,1568.2,Williamsburg City,VA,14401
22,1563.6,Lynchburg City,VA,77626
23,1518.0,Newport News City,VA,181362
24,1399.6,Petersburg City,VA,32439
25,1393.2,Waynesboro City,VA,21177
26,1337.7,Bristol,VA,17,595
27,1285.7,Henrico,VA,314,878
28,1248.7,Martinsville City,VA,13,745
29,1230.4,Prince William,VA,428,772
30,1204.5,Staunton City,VA,24,132
31,1032.3,Covington City,VA,5,853
32,1022.2,Franklin City,VA,8,534
33,1004.4,Hampton City,VA,136,904
34,984.2,Buena Vista City,VA,6,683
35,971.7,Danville City,VA,42,704
36,896.0,Virginia Beach City,VA,445,623
37,843.2,Galax City,VA,6,981
38,742.3,Chesterfield,VA,324,337
39,650.3,Loudoun,VA,338,916
40,650.3,Chesapeake City,VA,228,168
41,534.2,Norton City,VA,4,015
42,481.1,Stafford,VA,134,672
43,389.6,James City,VA,69,832
44,370.9,Roanoke,VA,93,194
45,306.1,York,VA,65,808
46,304.6,Spotsylvania,VA,126,200
47,246.1,Montgomery,VA,95,808
48,212.5,Hanover,VA,100,689
49,199.2,Suffolk City,VA,85,477
50,193.4,Frederick,VA,80,377
51,176.0,Warren,VA,38,142
52,154.3,Poquoson City,VA,12,103
53,140.3,Albemarle,VA,101,883
54,137.8,Henry,VA,52,960
55,130.9,King George,VA,24,577
56,130.5,Prince George,VA,36,792
57,128.3,Gloucester,VA,36,938
58,125.2,Culpeper,VA,
59,119.6,Greene,VA,18,766
60,108.1,Campbell,VA,54,833
61,107.5,Powhatan,VA,28,193
62,105.1,Pulaski,VA,34,630
63,102.5,Fauquier,VA,66,726
64,100.9,Wise,VA,40,872
65,99.7,Orange,VA,34,239
66,98.3,Bedford,VA,75,607
67,97.9,Isle Of Wight,VA,35,518
68,96.9,Washington,VA,54,833
69,90.6,Rockingham,VA,77,345
70,89.4,Fluvanna,VA,25,945
71,85.9,New Kent,VA,19,187
72,85.3,Tazewell,VA,44,331
73,83.1,Shenandoah,VA,42,545
74,80.0,Clarke,VA,14,273
75,79.2,Franklin,VA,56,360
76,76.1,Page,VA,23,905
77,75.9,Augusta,VA,73,707
78,74.6,Goochland,VA,21,627
79,70.5,Smyth,VA,31,876
80,69.3,Westmoreland,VA,17,518
81,67.3,Amherst,VA,32,237
82,66.0,Louisa,VA,33,743
83,65.4,Prince Edward,VA,23,140
84,64.4,Pittsylvania,VA,62,955
85,63.0,Wythe,VA,29,259
86,62.6,Carroll,VA,29,881
87,60.6,Botetourt,VA,33,105
88,59.7,Russell,VA,28,444
89,58.0,Lee,VA,25,380
90,56.2,King William,VA,16,045
91,55.2,Dinwiddie,VA,27,993
92,54.1,Caroline,VA,29,057
93,51.3,Middlesex,VA,10,817
94,49.9,Nottoway,VA,15,756
95,48.5,Lancaster,VA,11,224
96,47.2,Giles,VA,17,025
97,47.0,Buchanan,VA,
