Rank,Population Density (per sq mi),County,State,Population
1,403.2,Ohio,WV,43,956
2,345.2,Hancock,WV,30,369
3,336.2,Cabell,WV,96,826
4,333.8,Berkeley,WV,107,324
5,274.2,Monongalia,WV,100,332
6,258.2,Jefferson,WV,54,650
7,257.0,Brooke,WV,23,787
8,229.8,Wood,WV,86,595
9,210.5,Kanawha,WV,191,765
10,182.0,Marion,WV,56,698
11,165.8,Harrison,WV,69,069
12,160.8,Putnam,WV,56,356
13,147.7,Mercer,WV,62,161
14,129.4,Raleigh,WV,78,827
15,104.8,Marshall,WV,32,716
16,96.6,Taylor,WV,16,969
17,84.8,Mineral,WV,27,912
18,81.5,Wayne,WV,41,735
19,79.4,Logan,WV,36,169
20,76.0,Morgan,WV,17,450
21,69.0,Upshur,WV,24,487
22,68.4,Fayette,WV,45,709
23,62.0,Jackson,WV,29,229
24,61.9,Mingo,WV,26,229
25,61.2,Mason,WV,27,207
26,56.5,Pleasants,WV,7,600
27,51.8,Preston,WV,33,720
28,49.2,Lincoln,WV,21,599
29,48.8,Barbour,WV,16,723
30,48.2,Boone,WV,24,257
31,46.2,Wyoming,WV,23,203
32,45.1,Wetzel,WV,16,314
33,42.1,Lewis,WV,16,412
34,39.9,Nicholas,WV,26,090
35,39.8,Mcdowell,WV,21,281
36,37.3,Summers,WV,13,699
37,36.7,Hampshire,WV,23,674
38,34.8,Tyler,WV,9,084
39,34.8,Greenbrier,WV,35,639
40,30.5,Roane,WV,14,749
41,28.6,Monroe,WV,13,524
42,28.3,Randolph,WV,29,446
43,28.1,Braxton,WV,14,492
44,27.0,Calhoun,WV,7,583
45,26.8,Clay,WV,9,226
46,25.8,Doddridge,WV,8,282
47,25.6,Gilmer,WV,8,706
48,24.7,Wirt,WV,5,810
49,24.6,Grant,WV,11,829
50,23.9,Hardy,WV,13,955
51,22.5,Ritchie,WV,10,221
52,16.6,Tucker,WV,6,996
53,16.2,Webster,WV,9,005
54,10.8,Pendleton,WV,7,525
55,9.2,Pocahontas,WV,8,710
