Rank,Population Density (per sq mi),County,Population
1,586.2,Jefferson, AL,658834
2,422.3,Madison, AL,343229
3,286.1,Montgomery, AL,228850
4,251.9,Mobile, AL,414045
5,248.5,Shelby, AL,201168
6,240.0,Lee, AL,147790
7,199.9,Morgan, AL,119744
8,191.4,Calhoun, AL,117186
9,189.8,Etowah, AL,104126
10,177.2,Houston, AL,103079
11,151.0,Marshall, AL,94121
12,147.0,Tuscaloosa, AL,198670
13,143.6,Limestone, AL,87167
14,130.4,Saint Clair, AL,85242
15,128.7,Lauderdale, AL,92780
16,122.2,Elmore, AL,80321
17,107.4,Talladega, AL,81673
18,106.8,Cullman, AL,80668
19,94.3,Baldwin, AL,191205
20,91.3,De Kalb, AL,71074
21,91.2,Autauga, AL,55136
22,88.9,Dale, AL,50013
23,88.6,Blount, AL,57645
24,88.0,Russell, AL,56980
25,87.6,Colbert, AL,54491
26,82.2,Walker, AL,66211
27,74.5,Coffee, AL,50726
28,62.5,Chilton, AL,43781
29,56.5,Chambers, AL,34091
30,53.9,Tallapoosa, AL,41295
31,49.4,Pike, AL,33216
32,49.0,Franklin, AL,31663
33,47.2,Lawrence, AL,33835
34,47.0,Jackson, AL,53012
35,46.3,Geneva, AL,26816
36,43.4,Cherokee, AL,26042
37,43.0,Dallas, AL,42743
38,41.1,Marion, AL,30527
39,39.9,Escambia, AL,38042
40,38.9,Randolph, AL,22724
41,38.4,Winston, AL,24256
42,36.3,Covington, AL,37881
43,36.2,Bibb, AL,22653
44,33.4,Macon, AL,20505
45,30.4,Henry, AL,17270
46,30.0,Barbour, AL,27119
47,27.0,Fayette, AL,17019
48,26.7,Cleburne, AL,14990
49,26.4,Butler, AL,20523
50,23.6,Lamar, AL,14268
51,23.4,Hale, AL,15393
52,22.8,Crenshaw, AL,13938
53,22.5,Clay, AL,13617
54,22.1,Pickens, AL,19629
55,21.8,Monroe, AL,22509
56,20.9,Marengo, AL,20489
57,20.2,Clarke, AL,25331
58,17.1,Bullock, AL,10693
59,16.9,Coosa, AL,11247
60,15.7,Washington, AL,17137
61,15.2,Conecuh, AL,12985
62,15.1,Lowndes, AL,10918
63,14.7,Choctaw, AL,13546
64,14.7,Sumter, AL,13433
65,14.1,Perry, AL,10203
66,13.3,Greene, AL,8798
67,12.5,Wilcox, AL,11367
