Rank,Population Density (per sq mi),County,Population
1,481.3,Pulaski, AR,388752
2,263.2,Benton, AR,232611
3,232.2,Sebastian, AR,126801
4,222.8,Washington, AR,212238
5,177.4,Faulkner, AR,117804
6,153.1,Saline, AR,111811
7,140.1,Craighead, AR,99835
8,131.8,Garland, AR,96804
9,102.3,Crawford, AR,61825
10,87.3,Lonoke, AR,70118
11,81.7,Jefferson, AR,74655
12,78.8,Crittenden, AR,50172
13,75.5,Pope, AR,62687
14,75.1,White, AR,78275
15,74.1,Greene, AR,42970
16,70.1,Baxter, AR,41154
17,68.3,Miller, AR,43537
18,61.8,Boone, AR,37169
19,53.5,Hot Spring, AR,33277
20,49.3,Mississippi, AR,45385
21,47.8,Independence, AR,36861
22,43.6,Cleburne, AR,25793
23,43.2,Carroll, AR,27626
24,43.0,Saint Francis, AR,27642
25,38.8,Union, AR,40954
26,37.8,Johnson, AR,25791
27,37.4,Conway, AR,21175
28,34.4,Ouachita, AR,25421
29,31.9,Poinsett, AR,24359
30,31.8,Columbia, AR,24400
31,30.2,Logan, AR,22129
32,30.2,Hempstead, AR,22419
33,29.7,Sevier, AR,17250
34,29.0,Franklin, AR,17960
35,29.0,Lawrence, AR,17163
36,28.7,Phillips, AR,20847
37,28.5,Grant, AR,18014
38,28.3,Cross, AR,17595
39,28.2,Sharp, AR,17117
40,27.7,Jackson, AR,17746
41,27.1,Randolph, AR,17794
42,25.8,Clark, AR,22800
43,25.8,Marion, AR,16534
44,24.7,Lincoln, AR,14113
45,24.3,Clay, AR,15577
46,23.7,Polk, AR,20454
47,23.6,Van Buren, AR,17090
48,23.2,Izard, AR,13522
49,23.1,Yell, AR,21934
50,23.0,Howard, AR,13685
51,22.8,Ashley, AR,21437
52,22.8,Little River, AR,12852
53,22.4,Drew, AR,18705
54,20.6,Stone, AR,12531
55,19.7,Fulton, AR,12218
56,18.8,Madison, AR,15696
57,18.5,Perry, AR,10350
58,18.2,Arkansas, AR,18861
59,18.2,Pike, AR,11187
60,17.3,Bradley, AR,11316
61,16.6,Chicot, AR,11489
62,16.4,Lee, AR,10151
63,15.4,Desha, AR,12602
64,14.4,Cleveland, AR,8597
65,14.3,Nevada, AR,8877
66,13.6,Lafayette, AR,7391
67,12.6,Monroe, AR,7855
68,12.5,Prairie, AR,8475
69,12.3,Scott, AR,11024
70,12.0,Searcy, AR,8036
71,11.9,Woodruff, AR,7094
72,11.9,Dallas, AR,7954
73,11.6,Montgomery, AR,9296
74,9.9,Newton, AR,8131
75,8.3,Calhoun, AR,5266
