Rank,Population Density (per sq mi),County,Population
1,3575.3,San Francisco, CA,829072
2,3255.4,Orange, CA,3086331
3,2099.4,Los Angeles, CA,9974203
4,1898.5,Alameda, CA,1559308
5,1459.0,Sacramento, CA,1450277
6,1412.2,Santa Clara, CA,1841569
7,1345.2,Contra Costa, CA,1081232
8,998.5,San Mateo, CA,739837
9,703.4,San Diego, CA,3183143
10,491.4,San Joaquin, CA,701050
11,465.3,Solano, CA,421624
12,440.1,Santa Cruz, CA,267203
13,378.5,Ventura, CA,835790
14,345.2,Stanislaus, CA,522794
15,310.4,Riverside, CA,2266899
16,310.1,Marin, CA,256802
17,278.2,Sonoma, CA,491790
18,240.6,Placer, CA,361518
19,199.5,Yolo, CA,204162
20,176.6,Napa, CA,139253
21,157.8,Fresno, CA,948844
22,156.2,Sutter, CA,95067
23,132.2,Merced, CA,261609
24,132.1,Butte, CA,221578
25,113.9,Santa Barbara, CA,431555
26,113.5,Yuba, CA,73059
27,112.7,Monterey, CA,424927
28,108.8,Kings, CA,151390
29,105.1,Kern, CA,857730
30,103.4,San Bernardino, CA,2078586
31,101.6,El Dorado, CA,181465
32,101.3,Nevada, CA,98606
33,93.2,Tulare, CA,451108
34,75.8,San Luis Obispo, CA,274184
35,70.8,Madera, CA,152452
36,61.3,Amador, CA,37159
37,48.3,Lake, CA,64209
38,46.4,Shasta, CA,178520
39,43.3,Calaveras, CA,44921
40,40.9,San Benito, CA,56888
41,39.5,Imperial, CA,177026
42,33.3,Humboldt, CA,134876
43,23.9,Tuolumne, CA,54347
44,22.8,Del Norte, CA,28066
45,22.6,Mendocino, CA,87612
46,21.4,Tehama, CA,63284
47,21.1,Glenn, CA,28019
48,18.5,Colusa, CA,21424
49,12.3,Mariposa, CA,17946
50,7.4,Plumas, CA,19286
51,7.1,Lassen, CA,33356
52,7.0,Siskiyou, CA,44261
53,4.5,Mono, CA,14193
54,4.2,Trinity, CA,13515
55,3.1,Sierra, CA,3019
56,2.2,Modoc, CA,9335
57,1.8,Inyo, CA,18439
58,1.6,Alpine, CA,1202
