Rank,Population Density (per sq mi),County,Population
1,4098.6,Denver, CO,633777
2,1756.8,Broomfield, CO,59027
3,740.8,Arapahoe, CO,596684
4,705.6,Jefferson, CO,546162
5,412.2,Boulder, CO,305166
6,389.9,Adams, CO,461558
7,355.7,Douglas, CO,299794
8,303.2,El Paso, CO,645707
9,118.2,Larimer, CO,311435
10,67.0,Pueblo, CO,160757
11,66.0,Weld, CO,265066
12,46.0,Summit, CO,28482
13,44.1,Mesa, CO,147509
14,41.8,Teller, CO,23363
15,37.0,Gilpin, CO,5557
16,30.9,La Plata, CO,52547
17,30.9,Eagle, CO,52233
18,30.6,Fremont, CO,46879
19,26.4,Delta, CO,30378
20,23.0,Clear Creek, CO,9114
21,22.3,Alamosa, CO,16111
22,21.9,Morgan, CO,28342
23,19.2,Garfield, CO,56684
24,19.0,Lake, CO,7311
25,18.2,Montrose, CO,40885
26,17.9,Chaffee, CO,18121
27,17.8,Pitkin, CO,17303
28,14.7,Otero, CO,18712
29,13.0,Rio Grande, CO,11840
30,12.7,Elbert, CO,23545
31,12.5,Montezuma, CO,25569
32,12.3,Logan, CO,22604
33,9.9,Routt, CO,23428
34,9.0,Archuleta, CO,12132
35,8.4,Ouray, CO,4532
36,7.7,Grand, CO,14478
37,7.5,Prowers, CO,12359
38,7.3,Park, CO,16174
39,6.9,Crowley, CO,5558
40,6.4,Conejos, CO,8276
41,6.4,Phillips, CO,4385
42,5.9,San Miguel, CO,7597
43,5.8,Custer, CO,4274
44,4.8,Gunnison, CO,15503
45,4.3,Sedgwick, CO,2365
46,4.3,Yuma, CO,10131
47,4.1,Huerfano, CO,6550
48,3.9,Bent, CO,6000
49,3.8,Kit Carson, CO,8122
50,3.1,Las Animas, CO,14789
51,2.9,Costilla, CO,3578
52,2.8,Moffat, CO,13286
53,2.1,Lincoln, CO,5462
54,2.1,Rio Blanco, CO,6739
55,2.0,Saguache, CO,6211
56,1.9,Washington, CO,4781
57,1.7,San Juan, CO,653
58,1.6,Dolores, CO,1736
59,1.5,Baca, CO,3735
60,1.2,Cheyenne, CO,2153
61,0.9,Jackson, CO,1389
62,0.8,Mineral, CO,704
63,0.8,Kiowa, CO,1407
64,0.8,Hinsdale, CO,871
