Rank,Population Density (per sq mi),County,Population
1,1521.1,Pinellas, FL,925030
2,1372.2,Broward, FL,1815269
3,1251.5,Seminole, FL,432135
4,1196.3,Orange, FL,1200241
5,1069.8,Miami-Dade, FL,2600861
6,1011.0,Hillsborough, FL,1279668
7,959.0,Duval, FL,880750
8,570.3,Palm Beach, FL,1359074
9,544.4,Pasco, FL,472745
10,534.1,Lee, FL,647554
11,533.5,Sarasota, FL,386944
12,412.7,Saint Lucie, FL,283988
13,400.2,Leon, FL,280882
14,376.2,Manatee, FL,335840
15,352.5,Brevard, FL,548891
16,348.3,Volusia, FL,498981
17,347.7,Escambia, FL,304099
18,307.0,Polk, FL,617323
19,302.8,Clay, FL,194868
20,295.1,Hernando, FL,173792
21,263.6,Lake, FL,305010
22,259.9,Alachua, FL,251759
23,247.6,Saint Johns, FL,203402
24,228.4,Indian River, FL,140918
25,201.4,Marion, FL,334771
26,198.8,Martin, FL,149658
27,192.2,Osceola, FL,289449
28,190.1,Charlotte, FL,163151
29,180.7,Citrus, FL,139771
30,178.9,Sumter, FL,103708
31,174.6,Okaloosa, FL,188984
32,173.2,Flagler, FL,98843
33,167.4,Bay, FL,172988
34,145.1,Collier, FL,334474
35,134.8,Santa Rosa, FL,158240
36,103.2,Nassau, FL,74918
37,91.7,Bradford, FL,27552
38,88.8,Highlands, FL,98261
39,88.7,Gadsden, FL,46865
40,88.5,Putnam, FL,73191
41,84.4,Columbia, FL,67662
42,62.7,Suwannee, FL,43404
43,61.1,Union, FL,15258
44,54.4,De Soto, FL,34785
45,51.4,Jackson, FL,49105
46,47.7,Gilchrist, FL,16948
47,46.6,Walton, FL,57821
48,45.9,Baker, FL,27057
49,44.2,Okeechobee, FL,39398
50,43.2,Hardee, FL,27549
51,42.2,Wakulla, FL,31015
52,40.4,Holmes, FL,19741
53,40.0,Washington, FL,24660
54,32.2,Hendry, FL,38360
55,28.4,Levy, FL,40057
56,27.9,Hamilton, FL,14466
57,26.4,Madison, FL,18901
58,25.5,Calhoun, FL,14657
59,22.5,Jefferson, FL,14335
60,20.9,Gulf, FL,15781
61,20.1,Monroe, FL,75208
62,18.7,Dixie, FL,16137
63,18.4,Taylor, FL,22690
64,16.1,Lafayette, FL,8821
65,13.4,Glades, FL,13190
66,11.3,Franklin, FL,11636
67,9.8,Liberty, FL,8302
