Rank,Population Density (per sq mi),County,Population
1,2608.2,Dekalb, GA,707185
2,2057.7,Cobb, GA,708920
3,1928.0,Gwinnett, GA,842091
4,1830.7,Clayton, GA,264221
5,1809.9,Fulton, GA,967100
6,988.8,Clarke, GA,119681
7,897.0,Muscogee, GA,198247
8,765.9,Forsyth, GA,189314
9,671.7,Douglas, GA,135037
10,653.0,Rockdale, GA,86256
11,640.2,Henry, GA,209069
12,612.4,Richmond, GA,201244
13,607.9,Bibb, GA,155237
14,541.5,Fayette, GA,107930
15,510.9,Cherokee, GA,221951
16,463.1,Paulding, GA,145565
17,435.4,Chatham, GA,275303
18,435.0,Barrow, GA,70873
19,431.7,Hall, GA,185318
20,430.3,Columbia, GA,132362
21,399.8,Catoosa, GA,64955
22,383.3,Houston, GA,145622
23,363.6,Newton, GA,101503
24,354.3,Whitfield, GA,103132
25,320.4,Spalding, GA,63946
26,294.8,Coweta, GA,131419
27,280.6,Dougherty, GA,93890
28,258.7,Walton, GA,85378
29,222.0,Carroll, GA,111872
30,220.4,Lowndes, GA,112515
31,214.4,Bartow, GA,100771
32,185.4,Floyd, GA,96146
33,181.2,Oconee, GA,33769
34,180.7,Peach, GA,27337
35,177.6,Jackson, GA,60928
36,171.5,Baldwin, GA,45854
37,155.5,Gordon, GA,55666
38,155.3,Habersham, GA,43342
39,153.3,Troup, GA,68375
40,153.1,Walker, GA,68445
41,151.5,Tift, GA,40721
42,139.7,Stephens, GA,25741
43,138.3,Glynn, GA,80937
44,132.2,Polk, GA,41250
45,127.0,Pickens, GA,29550
46,124.8,Butts, GA,23469
47,113.9,White, GA,27594
48,113.7,Murray, GA,39416
49,111.1,Effingham, GA,53673
50,108.1,Lumpkin, GA,30719
51,107.0,Liberty, GA,64489
52,104.9,Dawson, GA,22500
53,104.5,Bulloch, GA,71940
54,100.9,Haralson, GA,28563
55,98.9,Hart, GA,25406
56,98.5,Madison, GA,28142
57,97.5,Lamar, GA,18128
58,94.9,Dade, GA,16533
59,83.3,Crisp, GA,23403
60,82.8,Franklin, GA,22051
61,82.6,Colquitt, GA,45987
62,81.5,Upson, GA,26681
63,81.3,Chattooga, GA,25484
64,81.2,Pike, GA,17821
65,81.0,Thomas, GA,44733
66,80.9,Mcduffie, GA,21563
67,79.6,Lee, GA,28805
68,78.3,Banks, GA,18317
69,73.5,Toombs, GA,27272
70,73.2,Cook, GA,17061
71,72.8,Jones, GA,28783
72,71.3,Coffee, GA,42947
73,70.8,Bryan, GA,32185
74,69.1,Ben Hill, GA,17547
75,68.8,Harris, GA,32539
76,67.3,Monroe, GA,26788
77,66.0,Gilmer, GA,28441
78,65.5,Union, GA,21553
79,65.5,Camden, GA,51193
80,64.6,Sumter, GA,31804
81,62.0,Towns, GA,10670
82,60.3,Fannin, GA,23632
83,58.9,Bleckley, GA,12912
84,58.8,Putnam, GA,21226
85,58.7,Laurens, GA,48028
86,58.2,Evans, GA,10868
87,54.9,Pierce, GA,18860
88,54.8,Grady, GA,25239
89,52.6,Elbert, GA,19694
90,51.9,Tattnall, GA,25356
91,51.8,Lanier, GA,10356
92,50.4,Morgan, GA,17866
93,47.2,Chattahoochee, GA,11846
94,46.5,Pulaski, GA,11693
95,46.5,Wayne, GA,30170
96,45.1,Mitchell, GA,23175
97,44.8,Jeff Davis, GA,15028
98,44.4,Candler, GA,11056
99,44.1,Decatur, GA,27508
100,43.2,Rabun, GA,16267
101,42.5,Dodge, GA,21365
102,42.4,Meriwether, GA,21434
103,41.7,Berrien, GA,19091
104,41.3,Brantley, GA,18463
105,39.9,Greene, GA,16190
106,39.6,Ware, GA,35915
107,39.5,Long, GA,15967
108,39.2,Bacon, GA,11196
109,38.8,Heard, GA,11674
110,38.4,Crawford, GA,12536
111,37.2,Worth, GA,21365
112,37.1,Telfair, GA,16493
113,36.8,Montgomery, GA,9000
114,36.5,Jasper, GA,13647
115,36.4,Dooly, GA,14443
116,36.0,Appling, GA,18421
117,35.1,Macon, GA,14232
118,34.3,Seminole, GA,8804
119,33.5,Treutlen, GA,6781
120,33.2,Oglethorpe, GA,14695
121,32.9,Emanuel, GA,22731
122,32.1,Johnson, GA,9850
123,31.7,Brooks, GA,15766
124,31.3,Jefferson, GA,16554
125,30.5,Washington, GA,20861
126,30.3,Lincoln, GA,7800
127,30.1,Schley, GA,5054
128,29.3,Turner, GA,8491
129,27.7,Burke, GA,23136
130,27.6,Terrell, GA,9304
131,26.4,Wheeler, GA,7932
132,26.1,Irwin, GA,9482
133,24.9,Jenkins, GA,8794
134,24.7,Mcintosh, GA,14172
135,24.1,Atkinson, GA,8297
136,23.8,Marion, GA,8751
137,23.7,Twiggs, GA,8612
138,23.7,Wilcox, GA,9061
139,23.1,Calhoun, GA,6549
140,22.4,Taylor, GA,8505
141,21.8,Screven, GA,14281
142,21.4,Glascock, GA,3086
143,21.4,Wilkes, GA,10123
144,21.2,Miller, GA,6017
145,20.9,Wilkinson, GA,9455
146,20.6,Early, GA,10662
147,19.6,Warren, GA,5626
148,18.9,Hancock, GA,9043
149,17.2,Randolph, GA,7411
150,16.7,Charlton, GA,13098
151,16.7,Talbot, GA,6594
152,15.0,Quitman, GA,2407
153,14.3,Clay, GA,3110
154,13.1,Webster, GA,2744
155,12.7,Stewart, GA,5900
156,9.6,Baker, GA,3342
157,9.6,Echols, GA,4018
158,8.7,Taliaferro, GA,1700
159,8.2,Clinch, GA,6777
