Rank,Population Density (per sq mi),County,Population
1,385.9,Ada, ID,409239
2,323.7,Canyon, ID,195353
3,108.5,Kootenai, ID,142783
4,79.8,Madison, ID,37754
5,72.7,Bannock, ID,83394
6,56.1,Bonneville, ID,106703
7,55.2,Payette, ID,22658
8,46.3,Nez Perce, ID,39655
9,40.9,Twin Falls, ID,78933
10,37.5,Jerome, ID,22580
11,35.3,Latah, ID,37989
12,29.6,Gem, ID,16732
13,26.5,Minidoka, ID,20191
14,24.1,Jefferson, ID,26620
15,22.7,Teton, ID,10212
16,21.5,Bingham, ID,45558
17,21.3,Bonner, ID,40899
18,20.8,Gooding, ID,15241
19,19.2,Franklin, ID,12853
20,11.7,Benewah, ID,9149
21,9.0,Cassia, ID,23275
22,8.5,Boundary, ID,10903
23,8.5,Elmore, ID,26349
24,8.0,Blaine, ID,21269
25,8.0,Lewis, ID,3822
26,6.9,Fremont, ID,13024
27,6.8,Washington, ID,10068
28,5.7,Bear Lake, ID,5941
29,5.4,Power, ID,7742
30,4.8,Shoshone, ID,12629
31,4.4,Lincoln, ID,5246
32,3.8,Caribou, ID,6857
33,3.6,Boise, ID,6880
34,3.5,Oneida, ID,4241
35,3.5,Clearwater, ID,8600
36,2.9,Adams, ID,3908
37,2.6,Valley, ID,9662
38,1.9,Idaho, ID,16315
39,1.7,Lemhi, ID,7828
40,1.5,Owyhee, ID,11412
41,1.2,Butte, ID,2734
42,1.1,Camas, ID,1156
43,0.9,Custer, ID,4284
44,0.5,Clark, ID,823
