Rank,Population Density (per sq mi),County,Population
1,3197.7,Cook, IL,5227827
2,2754.0,Dupage, IL,926485
3,995.6,Kane, IL,521874
4,803.2,Will, IL,682108
5,562.4,Winnebago, IL,292026
6,513.8,Lake, IL,703170
7,504.1,Mchenry, IL,307888
8,398.2,Saint Clair, IL,268415
9,366.7,Kendall, IL,118194
10,361.8,Madison, IL,267937
11,325.7,Rock Island, IL,146964
12,296.9,Peoria, IL,187197
13,226.7,Sangamon, IL,198808
14,206.5,Tazewell, IL,135872
15,204.5,Champaign, IL,204214
16,191.5,Boone, IL,54005
17,187.5,Macon, IL,109833
18,165.4,Kankakee, IL,112682
19,165.3,Dekalb, IL,104919
20,150.3,Williamson, IL,66808
21,145.3,Mclean, IL,172390
22,116.6,Grundy, IL,50173
23,105.2,Coles, IL,53655
24,99.8,Jackson, IL,60125
25,98.2,La Salle, IL,112698
26,92.2,Franklin, IL,39774
27,89.6,Vermilion, IL,80773
28,83.8,Monroe, IL,33373
29,83.3,Stephenson, IL,47053
30,82.8,Whiteside, IL,57680
31,77.0,Adams, IL,67113
32,75.4,Clinton, IL,37952
33,72.9,Knox, IL,52447
34,71.8,Woodford, IL,38965
35,71.4,Effingham, IL,34280
36,69.2,Ogle, IL,52782
37,67.6,Marion, IL,38922
38,66.3,Jefferson, IL,38716
39,64.3,Saline, IL,24876
40,62.6,Massac, IL,15148
41,61.6,Morgan, IL,35272
42,60.6,Henry, IL,50031
43,60.3,Jersey, IL,22751
44,55.4,Randolph, IL,33091
45,54.9,Mcdonough, IL,32388
46,54.4,Macoupin, IL,47229
47,51.6,Wabash, IL,11730
48,49.3,Perry, IL,22034
49,48.5,Logan, IL,30047
50,48.4,Lee, IL,35248
51,48.1,Christian, IL,34415
52,47.6,Douglas, IL,19867
53,45.9,Bond, IL,17571
54,44.7,Lawrence, IL,16726
55,44.6,Richland, IL,16144
56,44.0,Crawford, IL,19626
57,43.2,Moultrie, IL,14896
58,41.9,Montgomery, IL,29740
59,41.7,Union, IL,17620
60,41.5,Fulton, IL,36616
61,40.6,Dewitt, IL,16461
62,40.1,Menard, IL,12658
63,39.3,Bureau, IL,34361
64,37.7,Piatt, IL,16552
65,36.8,Livingston, IL,38476
66,36.3,Johnson, IL,12650
67,36.2,Jo Daviess, IL,22427
68,35.0,Cass, IL,13440
69,34.2,Putnam, IL,5895
70,32.7,Warren, IL,17784
71,32.2,Carroll, IL,15027
72,32.2,Clark, IL,16240
73,31.6,Cumberland, IL,10950
74,31.0,Alexander, IL,7821
75,30.9,Marshall, IL,12319
76,30.4,Fayette, IL,22041
77,30.0,Edwards, IL,6687
78,29.4,Pulaski, IL,5967
79,29.1,Clay, IL,13675
80,29.1,Edgar, IL,18171
81,29.0,White, IL,14549
82,28.9,Shelby, IL,22216
83,28.6,Ford, IL,13906
84,28.5,Mercer, IL,16204
85,26.2,Iroquois, IL,29272
86,25.8,Washington, IL,14527
87,25.4,Mason, IL,14309
88,25.0,Greene, IL,13677
89,23.3,Hardin, IL,4226
90,23.2,Wayne, IL,16627
91,23.1,Hancock, IL,18808
92,22.4,Brown, IL,6878
93,20.8,Scott, IL,5260
94,20.4,Stark, IL,5888
95,19.4,Jasper, IL,9658
96,19.2,Hamilton, IL,8371
97,19.1,Pike, IL,16244
98,17.9,Henderson, IL,7074
99,17.7,Calhoun, IL,5033
100,16.9,Schuyler, IL,7454
101,16.6,Gallatin, IL,5439
102,11.7,Pope, IL,4362
