Rank,Population Density (per sq mi),County,Population
1,2281.2,Marion, IN,919336
2,787.1,Lake, IN,493140
3,765.4,Vanderburgh, IN,180877
4,719.9,Hamilton, IN,289722
5,578.5,St Joseph, IN,266916
6,546.9,Allen, IN,360990
7,506.4,Floyd, IN,75431
8,446.8,Johnson, IN,143789
9,426.4,Elkhart, IN,199544
10,369.3,Hendricks, IN,150977
11,354.0,Tippecanoe, IN,178135
12,343.0,Monroe, IN,141101
13,317.8,Porter, IN,165819
14,298.1,Clark, IN,112212
15,296.6,Delaware, IN,117441
16,288.6,Madison, IN,130688
17,282.1,Howard, IN,82914
18,263.8,Vigo, IN,108264
19,230.8,Hancock, IN,70851
20,192.0,Bartholomew, IN,78628
21,181.5,La Porte, IN,111293
22,169.4,Morgan, IN,69343
23,169.1,Wayne, IN,68360
24,167.1,Grant, IN,69313
25,162.1,Dearborn, IN,49840
26,154.8,Warrick, IN,60538
27,140.3,Kosciusko, IN,77790
28,140.0,Boone, IN,59246
29,124.7,Henry, IN,49227
30,124.0,Scott, IN,23897
31,116.3,De Kalb, IN,42321
32,113.8,Noble, IN,47497
33,111.3,Fayette, IN,23955
34,107.6,Shelby, IN,44428
35,106.0,Steuben, IN,34190
36,104.6,Marshall, IN,47032
37,101.7,Lawrence, IN,45970
38,101.6,Adams, IN,34533
39,98.6,Whitley, IN,33307
40,97.6,Lagrange, IN,37759
41,96.9,Dubois, IN,42170
42,96.4,Miami, IN,36394
43,95.3,Huntington, IN,36959
44,93.4,Cass, IN,38730
45,89.4,Jefferson, IN,32447
46,83.9,Jackson, IN,43127
47,81.4,Clinton, IN,32987
48,80.6,Harrison, IN,39216
49,78.2,Putnam, IN,37728
50,77.2,Wabash, IN,32492
51,75.9,Blackford, IN,12576
52,75.5,Montgomery, IN,38183
53,74.9,Wells, IN,27732
54,74.6,Jennings, IN,28223
55,74.4,Clay, IN,26797
56,74.4,Starke, IN,23215
57,73.6,Daviess, IN,32156
58,72.9,Knox, IN,38181
59,69.9,Decatur, IN,26112
60,69.5,Ohio, IN,6073
61,67.3,Gibson, IN,33586
62,63.8,Ripley, IN,28601
63,61.4,Vermillion, IN,15952
64,61.1,Posey, IN,25641
65,60.4,Greene, IN,32978
66,60.2,Tipton, IN,15688
67,59.6,Jasper, IN,33443
68,58.8,Franklin, IN,22980
69,56.9,Randolph, IN,25801
70,55.6,Fulton, IN,20638
71,55.4,Jay, IN,21279
72,55.0,Owen, IN,21321
73,54.2,Washington, IN,28017
74,53.5,Carroll, IN,20068
75,52.0,Spencer, IN,20893
76,50.4,Perry, IN,19452
77,48.4,Orange, IN,19756
78,48.1,White, IN,24485
79,47.6,Brown, IN,15074
80,47.1,Switzerland, IN,10514
81,46.7,Sullivan, IN,21227
82,44.7,Union, IN,7382
83,42.7,Fountain, IN,17002
84,42.0,Rush, IN,17147
85,38.2,Parke, IN,17200
86,37.3,Pike, IN,12733
87,35.0,Newton, IN,14140
88,34.5,Crawford, IN,10646
89,30.2,Martin, IN,10294
90,30.2,Pulaski, IN,13130
91,23.0,Warren, IN,8421
92,21.7,Benton, IN,8810
