Rank,Population Density (per sq mi),County,Population
1,752.5,Polk, IA,445136
2,360.3,Scott, IA,168714
3,296.7,Linn, IA,214927
4,230.4,Black Hawk, IA,131947
5,219.5,Johnson, IA,136802
6,160.3,Story, IA,91939
7,154.3,Dubuque, IA,95166
8,121.9,Dallas, IA,72124
9,116.6,Woodbury, IA,102372
10,97.1,Pottawattamie, IA,93153
11,95.4,Muscatine, IA,42857
12,93.7,Des Moines, IA,40265
13,82.1,Warren, IA,47058
14,81.2,Wapello, IA,35406
15,76.0,Cerro Gordo, IA,43707
16,71.4,Marshall, IA,40922
17,68.5,Clinton, IA,48663
18,66.0,Lee, IA,35552
19,58.4,Marion, IA,33308
20,55.7,Bremer, IA,24481
21,52.1,Webster, IA,37399
22,50.1,Jasper, IA,36715
23,46.3,Henry, IA,20197
24,45.9,Boone, IA,26326
25,44.6,Sioux, IA,34261
26,41.8,Dickinson, IA,16877
27,39.1,Jefferson, IA,17102
28,39.1,Mahaska, IA,22420
29,38.4,Washington, IA,21906
30,36.5,Buchanan, IA,20947
31,36.3,Carroll, IA,20702
32,36.0,Benton, IA,25895
33,35.7,Jones, IA,20607
34,35.3,Buena Vista, IA,20460
35,33.9,Mills, IA,14946
36,32.2,Floyd, IA,16153
37,32.0,Poweshiek, IA,18765
38,31.7,Cedar, IA,18434
39,30.5,Hardin, IA,17406
40,30.4,Winneshiek, IA,20957
41,30.4,Delaware, IA,17578
42,30.3,Jackson, IA,19656
43,29.5,Union, IA,12554
44,29.4,Page, IA,15737
45,28.9,Clay, IA,16555
46,28.8,Plymouth, IA,24899
47,28.3,Fayette, IA,20693
48,27.8,Madison, IA,15629
49,27.8,Iowa, IA,16316
50,27.1,Louisa, IA,11305
51,26.6,Hamilton, IA,15363
52,26.5,Winnebago, IA,10645
53,25.7,Butler, IA,14966
54,25.0,Emmet, IA,10068
55,24.8,Montgomery, IA,10549
56,24.7,Obrien, IA,14173
57,24.7,Grundy, IA,12403
58,24.7,Appanoose, IA,12754
59,24.4,Chickasaw, IA,12329
60,24.3,Tama, IA,17568
61,24.2,Cass, IA,13694
62,24.1,Crawford, IA,17259
63,22.9,Mitchell, IA,10744
64,22.6,Clayton, IA,17900
65,22.3,Wright, IA,13007
66,22.3,Humboldt, IA,9731
67,21.5,Clarke, IA,9284
68,21.5,Allamakee, IA,14152
69,20.8,Harrison, IA,14600
70,20.8,Cherokee, IA,11982
71,20.3,Shelby, IA,12034
72,20.2,Lucas, IA,8785
73,20.1,Howard, IA,9529
74,19.9,Lyon, IA,11680
75,19.5,Hancock, IA,11175
76,18.8,Worth, IA,7567
77,18.5,Monroe, IA,8019
78,18.2,Guthrie, IA,10794
79,18.1,Franklin, IA,10572
80,17.9,Keokuk, IA,10361
81,17.6,Sac, IA,10162
82,17.4,Calhoun, IA,9980
83,17.4,Davis, IA,8765
84,16.4,Ida, IA,7085
85,16.3,Palo Alto, IA,9263
86,16.2,Greene, IA,9232
87,15.8,Kossuth, IA,15347
88,15.7,Osceola, IA,6279
89,15.5,Decatur, IA,8286
90,15.3,Van Buren, IA,7487
91,13.9,Fremont, IA,7200
92,13.4,Audubon, IA,5935
93,13.2,Adair, IA,7543
94,13.1,Monona, IA,9149
95,12.4,Pocahontas, IA,7191
96,12.1,Wayne, IA,6385
97,11.6,Taylor, IA,6225
98,9.4,Ringgold, IA,5082
99,9.3,Adams, IA,3937
