Rank,Population Density (per sq mi),County,Population
1,1167.0,Johnson, KS,560025
2,1021.0,Wyandotte, KS,159466
3,499.2,Sedgwick, KS,503788
4,321.4,Shawnee, KS,178600
5,239.6,Douglas, KS,113703
6,165.7,Leavenworth, KS,77687
7,119.7,Riley, KS,74478
8,90.1,Geary, KS,36458
9,77.3,Saline, KS,55793
10,66.0,Crawford, KS,39277
11,64.4,Harvey, KS,34797
12,55.5,Miami, KS,32765
13,53.1,Montgomery, KS,34602
14,50.5,Reno, KS,64223
15,45.6,Butler, KS,65927
16,44.8,Franklin, KS,25834
17,39.2,Lyon, KS,33510
18,38.6,Atchison, KS,16737
19,36.4,Seward, KS,23319
20,35.8,Cherokee, KS,21179
21,34.0,Jefferson, KS,18932
22,32.5,Mcpherson, KS,29308
23,32.5,Labette, KS,21225
24,32.1,Ellis, KS,28878
25,32.0,Cowley, KS,36201
26,31.5,Ford, KS,34604
27,30.6,Barton, KS,27566
28,28.5,Finney, KS,37099
29,28.5,Neosho, KS,16453
30,26.1,Allen, KS,13212
31,25.9,Pottawatomie, KS,22338
32,23.3,Bourbon, KS,14913
33,23.1,Dickinson, KS,19641
34,22.5,Osage, KS,16165
35,20.5,Jackson, KS,13464
36,20.1,Sumner, KS,23763
37,19.8,Doniphan, KS,7904
38,17.3,Brown, KS,9926
39,16.0,Wilson, KS,9177
40,15.8,Linn, KS,9551
41,14.1,Nemaha, KS,10136
42,13.8,Rice, KS,10050
43,13.7,Grant, KS,7856
44,13.6,Anderson, KS,7962
45,13.3,Pratt, KS,9758
46,13.1,Cloud, KS,9414
47,13.0,Marion, KS,12401
48,13.0,Coffey, KS,8493
49,12.9,Clay, KS,8460
50,11.1,Marshall, KS,10042
51,9.2,Pawnee, KS,6959
52,9.0,Kingman, KS,7820
53,8.9,Ellsworth, KS,6443
54,8.8,Wabaunsee, KS,7034
55,8.8,Mitchell, KS,6324
56,8.4,Ottawa, KS,6075
57,8.3,Morris, KS,5808
58,7.9,Stevens, KS,5744
59,7.7,Russell, KS,6959
60,7.4,Thomas, KS,7947
61,7.4,Harper, KS,5906
62,7.3,Haskell, KS,4198
63,7.0,Gray, KS,6043
64,6.9,Scott, KS,4965
65,6.8,Republic, KS,4868
66,6.4,Woodson, KS,3246
67,6.4,Norton, KS,5628
68,6.4,Washington, KS,5717
69,6.2,Phillips, KS,5560
70,5.8,Rooks, KS,5174
71,5.8,Sherman, KS,6078
72,5.6,Greenwood, KS,6495
73,5.5,Chautauqua, KS,3572
74,5.5,Stafford, KS,4363
75,4.8,Edwards, KS,3006
76,4.5,Meade, KS,4444
77,4.5,Kearny, KS,3950
78,4.5,Rush, KS,3222
79,4.4,Lincoln, KS,3180
80,4.3,Morton, KS,3159
81,4.3,Barber, KS,4898
82,4.3,Osborne, KS,3811
83,4.2,Smith, KS,3779
84,4.2,Elk, KS,2734
85,3.5,Chase, KS,2746
86,3.5,Kiowa, KS,2529
87,3.3,Jewell, KS,3060
88,3.3,Trego, KS,2959
89,3.3,Decatur, KS,2915
90,3.2,Stanton, KS,2187
91,3.1,Wichita, KS,2220
92,2.9,Graham, KS,2602
93,2.9,Ness, KS,3104
94,2.8,Sheridan, KS,2540
95,2.6,Cheyenne, KS,2695
96,2.6,Hamilton, KS,2632
97,2.6,Gove, KS,2786
98,2.6,Logan, KS,2783
99,2.4,Comanche, KS,1911
100,2.4,Rawlins, KS,2553
101,2.3,Lane, KS,1652
102,2.3,Hodgeman, KS,1941
103,2.2,Clark, KS,2170
104,1.7,Wallace, KS,1569
105,1.6,Greeley, KS,1223
