Rank,Population Density (per sq mi),County,Population
1,1052.1,Orleans,LA,368471
2,943.4,East Baton Rouge,LA,443598
3,847.2,Lafayette,LA,228084
4,653.0,Jefferson,LA,434528
5,370.9,Ascension,LA,112308
6,272.8,Caddo,LA,255529
7,245.8,Ouachita,LA,155285
8,213.3,Saint Tammany,LA,239814
9,188.0,Livingston,LA,132160
10,178.1,Calcasieu,LA,194943
11,150.8,Tangipahoa,LA,124125
12,140.6,Bossier,LA,121918
13,128.2,St John The Baptist,LA,44570
14,128.1,Saint Charles,LA,52616
15,119.5,West Baton Rouge,LA,24347
16,100.0,Lincoln,LA,47243
17,97.1,Rapides,LA,132199
18,94.4,Acadia,LA,62031
19,88.9,Saint Landry,LA,83518
20,84.4,Saint James,LA,21782
21,71.6,Iberia,LA,73735
22,69.1,Washington,LA,46723
23,66.5,Webster,LA,40890
24,66.0,Lafourche,LA,97235
25,64.7,Saint Martin,LA,52823
26,63.6,Assumption,LA,23170
27,53.9,Terrebonne,LA,112167
28,51.1,Iberville,LA,33375
29,49.7,Evangeline,LA,33778
30,48.1,Avoyelles,LA,41604
31,48.0,Saint Mary,LA,53784
32,47.8,Jefferson Davis,LA,31492
33,43.8,East Feliciana,LA,19964
34,39.4,Vernon,LA,52844
35,38.3,Pointe Coupee,LA,22631
36,38.1,Vermilion,LA,58784
37,36.9,Richland,LA,20845
38,36.3,West Feliciana,LA,15485
39,33.9,Morehouse,LA,27319
40,33.6,Grant,LA,22363
41,33.5,Allen,LA,25691
42,32.5,Franklin,LA,20645
43,32.0,West Carroll,LA,11522
44,31.0,Beauregard,LA,36109
45,30.3,Natchitoches,LA,39359
46,30.1,De Soto,LA,26968
47,27.9,Jackson,LA,16199
48,27.6,Concordia,LA,20609
49,26.7,Saint Helena,LA,10937
50,25.0,Union,LA,22623
51,24.0,Sabine,LA,24286
52,22.5,La Salle,LA,14874
53,22.2,Red River,LA,8937
54,21.9,Claiborne,LA,16817
55,19.1,Saint Bernard,LA,41114
56,18.5,Caldwell,LA,10008
57,18.4,Madison,LA,12008
58,17.2,East Carroll,LA,7602
59,17.2,Bienville,LA,14122
60,15.7,Winn,LA,15000
61,13.9,Catahoula,LA,10273
62,9.2,Plaquemines,LA,23545
63,7.8,Tensas,LA,5008
64,3.5,Cameron,LA,6713
