Rank,Population Density (per sq mi),County,Population
1,6760.1,Baltimore City,622271
2,1982.6,Montgomery,1005087
3,1773.7,Prince Georges,884764
4,1199.4,Baltimore,817720
5,1181.0,Howard,299269
6,936.2,Anne Arundel,550269
7,471.0,Harford,248029
8,369.8,Carroll,167399
9,358.5,Frederick,239253
10,318.6,Washington,148913
11,260.2,Calvert,89793
12,250.8,Wicomico,100376
13,243.6,Cecil,101803
14,234.8,Charles,150960
15,172.1,Allegany,73976
16,141.9,Saint Marys,108472
17,100.5,Caroline,32759
18,94.8,Queen Annes,48439
19,79.5,Talbot,37894
20,74.2,Worcester,51558
21,48.4,Kent,20016
22,45.7,Garrett,29945
23,42.9,Somerset,26197
24,33.2,Dorchester,32614
