Rank,Population Density (per sq mi),County,Population
1,2661.1,Wayne,1790078
2,1487.9,Macomb,849344
3,1345.5,Oakland,1220798
4,705.8,Kent,615381
5,644.5,Genesee,418654
6,503.9,Ingham,282562
7,486.5,Washtenaw,351454
8,439.2,Kalamazoo,254870
9,313.1,Livingston,183264
10,242.3,Saginaw,197727
11,221.8,Monroe,150851
12,221.0,Jackson,159927
13,192.5,Saint Clair,161008
14,188.1,Calhoun,135150
15,186.5,Eaton,108081
16,169.8,Bay,107074
17,165.4,Ottawa,269795
18,158.4,Midland,83620
19,148.0,Grand Traverse,88981
20,133.1,Clinton,76479
21,133.0,Lapeer,88155
22,130.4,Lenawee,99257
23,128.6,Shiawassee,69553
24,122.1,Isabella,70506
25,117.3,Muskegon,171328
26,117.1,Saint Joseph,60998
27,110.3,Ionia,63976
28,102.4,Barry,59107
29,102.3,Cass,52001
30,98.6,Berrien,155992
31,87.5,Montcalm,63046
32,84.6,Branch,43965
33,76.2,Hillsdale,46282
34,75.7,Mecosta,43226
35,73.6,Gratiot,42057
36,69.3,Van Buren,75569
37,61.2,Allegan,112266
38,60.0,Tuscola,54795
39,56.8,Wexford,32699
40,55.9,Newaygo,48126
41,53.5,Clare,30786
42,49.6,Gladwin,25599
43,45.9,Otsego,24126
44,41.6,Roscommon,24141
45,40.7,Osceola,23327
46,38.8,Antrim,23368
47,37.3,Emmet,32922
48,37.2,Ogemaw,21373
49,33.6,Dickinson,26097
50,30.1,Kalkaska,17204
51,29.2,Cheboygan,25821
52,26.6,Sanilac,42301
53,26.1,Missaukee,14986
54,24.8,Crawford,13941
55,24.5,Houghton,36739
56,23.1,Mason,28705
57,22.9,Arenac,15564
58,20.3,Benzie,17450
59,20.2,Oceana,26325
60,19.9,Lake,11431
61,19.7,Marquette,67535
62,19.2,Manistee,24545
63,18.7,Charlevoix,26038
64,18.5,Delta,36841
65,17.8,Menominee,23838
66,17.3,Alpena,29242
67,16.9,Montmorency,9506
68,15.2,Huron,32525
69,14.9,Oscoda,8525
70,14.3,Chippewa,38698
71,13.5,Iosco,25504
72,10.9,Gogebic,16042
73,9.6,Iron,11615
74,8.6,Leelanau,21739
75,8.2,Baraga,8740
76,6.0,Alcona,10657
77,5.3,Mackinac,11080
78,5.1,Presque Isle,13128
79,4.4,Schoolcraft,8345
80,3.4,Luce,6512
81,1.9,Alger,9516
82,1.7,Ontonagon,6448
83,0.4,Keweenaw,2197
