Rank,Population Density (per sq mi),County,Population
1,3064.9,Ramsey,521265
2,1952.2,Hennepin,1184091
3,753.9,Anoka,336316
4,691.0,Dakota,405521
5,577.4,Washington,244103
6,366.8,Scott,135129
7,250.5,Carver,94212
8,225.2,Olmsted,147431
9,199.0,Sherburne,89770
10,178.3,Wright,127386
11,125.7,Rice,64829
12,121.6,Chisago,53798
13,109.2,Stearns,151728
14,94.4,Benton,38980
15,84.6,Isanti,38190
16,84.5,Blue Earth,64720
17,84.4,Steele,36472
18,79.9,Winona,51285
19,71.6,Mcleod,36172
20,70.5,Nicollet,32923
21,59.4,Goodhue,46336
22,58.5,Le Sueur,27717
23,57.2,Clay,60249
24,55.2,Mower,39312
25,54.4,Crow Wing,62900
26,50.6,Douglas,36413
27,49.1,Kandiyohi,42316
28,46.1,Dodge,20246
29,44.2,Waseca,19127
30,43.0,Freeborn,31034
31,41.3,Brown,25513
32,40.5,Carlton,35430
33,39.1,Wabasha,21485
34,38.0,Mille Lacs,25891
35,35.9,Meeker,23147
36,35.6,Lyon,25724
37,33.2,Houston,18859
38,30.1,Kanabec,16084
39,29.9,Nobles,21589
40,29.2,Saint Louis,200563
41,28.7,Morrison,33054
42,28.1,Martin,20515
43,25.8,Otter Tail,57417
44,25.4,Watonwan,11151
45,25.3,Wadena,13754
46,25.1,Sibley,15096
47,25.1,Todd,24588
48,24.2,Fillmore,20842
49,22.8,Becker,32971
50,22.7,Pennington,14041
51,20.8,Chippewa,12235
52,20.5,Hubbard,20518
53,20.5,Pine,29347
54,20.2,Pipestone,9407
55,19.9,Rock,9587
56,19.9,Faribault,14337
57,18.0,Cottonwood,11676
58,18.0,Redwood,15834
59,16.9,Stevens,9748
60,15.8,Polk,31630
61,15.5,Renville,15326
62,15.5,Itasca,45303
63,15.3,Pope,10946
64,14.8,Beltrami,45236
65,14.3,Jackson,10260
66,13.4,Yellow Medicine,10233
67,12.8,Swift,9602
68,11.9,Murray,8586
69,11.8,Cass,28499
70,10.6,Lincoln,5821
71,10.4,Grant,5977
72,9.8,Big Stone,5180
73,9.4,Red Lake,4071
74,9.4,Mahnomen,5486
75,9.3,Roseau,15545
76,9.1,Lac Qui Parle,7096
77,8.7,Wilkin,6561
78,8.5,Clearwater,8735
79,8.0,Aitkin,15964
80,7.7,Norman,6725
81,5.9,Traverse,3455
82,5.2,Marshall,9447
83,4.2,Koochiching,13138
84,4.1,Kittson,4501
85,3.6,Lake,10791
86,2.2,Lake Of The Woods,3976
87,1.6,Cook,5197
