Rank,Population Density (per sq mi),County,Population
1,334.5,Desoto,166266
2,280.8,Hinds,246364
3,198.4,Harrison,193642
4,186.7,Lee,84588
5,180.5,Rankin,145483
6,162.0,Forrest,76159
7,134.4,Jackson,140194
8,133.0,Madison,98622
9,116.0,Lamar,58038
10,115.7,Lowndes,59736
11,112.2,Lauderdale,80261
12,105.3,Oktibbeha,48639
13,97.9,Pike,40209
14,97.6,Jones,68273
15,92.9,Alcorn,37279
16,81.7,Hancock,45136
17,78.1,Warren,48291
18,74.0,Lafayette,50256
19,69.5,Tate,28557
20,67.5,Pearl River,55293
21,66.0,Union,27536
22,66.0,Adams,32189
23,65.7,Washington,50038
24,60.6,Pontotoc,30374
25,60.6,Prentiss,25338
26,59.2,Lincoln,34824
27,52.4,Leflore,31772
28,51.8,Neshoba,29596
29,51.6,Marshall,36636
30,49.1,Clay,20414
31,48.9,Panola,34507
32,48.2,Marion,26449
33,48.2,Grenada,21660
34,48.0,Tippah,22069
35,47.5,George,22960
36,47.1,Monroe,36383
37,47.0,Covington,19495
38,46.4,Simpson,27425
39,46.4,Scott,28312
40,43.9,Tishomingo,19532
41,43.8,Coahoma,25527
42,43.3,Itawamba,23415
43,40.1,Sunflower,28314
44,40.0,Stone,17941
45,39.9,Leake,23368
46,37.5,Bolivar,33961
47,37.4,Walthall,15126
48,37.4,Newton,21671
49,37.2,Copiah,29028
50,34.5,Chickasaw,17376
51,30.9,Winston,18882
52,30.1,Yazoo,28076
53,29.6,Jefferson Davis,12100
54,29.0,Lawrence,12636
55,26.2,Attala,19303
56,26.1,Montgomery,10634
57,25.6,Smith,16344
58,25.3,Wayne,20611
59,25.2,Calhoun,14841
60,25.1,Yalobusha,12433
61,24.8,Holmes,18965
62,24.6,Jasper,16687
63,23.8,Webster,10077
64,23.8,Clarke,16509
65,23.2,Tallahatchie,15124
66,22.0,Tunica,10583
67,21.1,Humphreys,9106
68,21.0,Benton,8573
69,20.0,Choctaw,8399
70,19.9,Greene,14308
71,19.4,Quitman,7902
72,18.7,Claiborne,9396
73,18.7,Perry,12173
74,17.7,Amite,12957
75,16.4,Carroll,10418
76,16.1,Noxubee,11240
77,14.5,Jefferson,7634
78,14.0,Franklin,7944
79,13.8,Wilkinson,9481
80,13.4,Kemper,10310
81,11.3,Sharkey,4898
82,2.9,Issaquena,1279
