Rank,Population Density (per sq mi),County,Population
1,4826.7,Saint Louis City,318727
2,1912.8,Saint Louis,1000423
3,1100.5,Jackson,678167
4,624.0,Saint Charles,369781
5,557.9,Clay,227984
6,414.0,Greene,280657
7,332.0,Jefferson,220558
8,243.5,Boone,168268
9,215.9,Buchanan,89536
10,215.9,Platte,92149
11,190.2,Cole,76426
12,182.4,Jasper,116996
13,144.7,Saint Francois,65813
14,142.8,Cass,100339
15,141.6,Christian,79856
16,131.4,Cape Girardeau,77031
17,109.3,Franklin,101682
18,96.7,Pulaski,53343
19,93.7,Newton,58683
20,91.9,Scott,39137
21,83.5,Lincoln,53458
22,81.5,Taney,53086
23,75.0,Warren,32847
24,66.9,Phelps,45091
25,64.9,Marion,28844
26,64.7,Johnson,53879
27,62.5,Lawrence,38306
28,61.9,Camden,43873
29,61.9,Stone,31593
30,61.5,Pettis,42213
31,61.5,Butler,42957
32,61.4,Webster,36461
33,58.1,Dunklin,31778
34,52.5,Callaway,44483
35,51.8,Lafayette,33069
36,51.7,Randolph,25207
37,48.5,Clinton,20545
38,48.4,Polk,31122
39,46.3,Laclede,35544
40,45.1,Barry,35681
41,45.0,Adair,25642
42,43.6,Howell,40469
43,42.3,Mcdonald,22851
44,41.5,Miller,24905
45,40.4,Ray,23166
46,39.8,Andrew,17373
47,39.3,Perry,19042
48,37.5,Moniteau,15719
49,36.8,Audrain,25637
50,36.0,Stoddard,29864
51,35.6,Sainte Genevieve,18017
52,35.1,Pemiscot,18010
53,33.3,Mississippi,14276
54,33.2,Crawford,24680
55,33.1,Morgan,20314
56,32.9,Washington,25113
57,30.9,Cooper,17585
58,30.6,Dallas,16632
59,30.5,Saline,23363
60,30.2,Henry,22134
61,30.1,Dekalb,12824
62,28.6,Gasconade,15014
63,27.9,Livingston,15034
64,27.9,Cedar,13912
65,27.2,Wright,18565
66,27.1,Pike,18573
67,26.7,New Madrid,18568
68,26.5,Nodaway,23296
69,25.2,Benton,18961
70,25.1,Vernon,20984
71,24.8,Madison,12353
72,23.5,Grundy,10279
73,22.9,Hickory,9420
74,22.6,Osage,13812
75,22.3,Ripley,14056
76,22.2,Montgomery,12054
77,21.9,Texas,25796
78,21.6,Howard,10183
79,21.4,Caldwell,9176
80,21.1,Ralls,10224
81,20.8,Dent,15681
82,20.6,Barton,12286
83,20.1,Linn,12494
84,20.0,Bollinger,12394
85,19.9,Lewis,10176
86,19.7,Bates,16780
87,19.1,Macon,15527
88,18.9,Iron,10424
89,17.3,Wayne,13430
90,17.2,Maries,9098
91,16.7,Douglas,13575
92,15.2,Dade,7678
93,14.6,Daviess,8324
94,14.2,Schuyler,4388
95,13.9,Oregon,10975
96,13.8,Gentry,6792
97,13.7,Saint Clair,9609
98,13.7,Clark,7001
99,13.1,Carroll,9157
100,13.0,Monroe,8725
101,12.7,Ozark,9612
102,12.4,Shelby,6218
103,12.3,Carter,6283
104,12.1,Harrison,8795
105,11.1,Scotland,4862
106,10.1,Chariton,7727
107,10.1,Sullivan,6551
108,10.0,Atchison,5520
109,10.0,Holt,4695
110,9.5,Putnam,4911
111,8.3,Shannon,8360
112,8.2,Mercer,3735
113,8.2,Reynolds,6644
114,8.0,Knox,4078
115,7.9,Worth,2102
