Rank,Population Density (per sq mi),County,Population
1,57.4,Yellowstone,151965
2,47.9,Silver Bow,34462
3,42.4,Missoula,111011
4,35.4,Gallatin,93108
5,30.2,Cascade,81953
6,18.5,Lewis And Clark,64772
7,17.6,Flathead,92373
8,17.5,Lake,28987
9,16.9,Ravalli,40640
10,12.5,Deer Lodge,9243
11,6.9,Jefferson,11465
12,5.6,Hill,16434
13,5.6,Park,15642
14,5.3,Lincoln,19455
15,5.1,Stillwater,9214
16,5.1,Richland,10686
17,4.9,Carbon,10189
18,4.6,Broadwater,5697
19,4.6,Roosevelt,10861
20,4.5,Glacier,13641
21,4.1,Sanders,11373
22,3.9,Dawson,9219
23,3.8,Pondera,6211
24,3.5,Mineral,4230
25,3.1,Custer,11869
26,3.0,Powell,7010
27,2.7,Toole,5208
28,2.6,Teton,6075
29,2.6,Fergus,11496
30,2.6,Big Horn,13079
31,2.5,Musselshell,4760
32,2.1,Madison,7723
33,2.1,Sheridan,3510
34,1.9,Sweet Grass,3622
35,1.9,Fallon,3028
36,1.9,Rosebud,9335
37,1.8,Granite,3133
38,1.7,Beaverhead,9294
39,1.6,Blaine,6576
40,1.5,Liberty,2235
41,1.5,Wheatland,2126
42,1.5,Valley,7518
43,1.5,Chouteau,5859
44,1.3,Daniels,1813
45,1.1,Wibaux,987
46,1.1,Judith Basin,2023
47,0.8,Meagher,2026
48,0.8,Phillips,4194
49,0.8,Treasure,761
50,0.7,Prairie,1282
51,0.7,Mccone,1758
52,0.6,Golden Valley,738
53,0.5,Powder River,1710
54,0.4,Carter,1205
55,0.3,Petroleum,489
56,0.2,Garfield,1097
