Rank,Population Density (per sq mi),County,Population
1,1564.9,Douglas,531057
2,670.5,Sarpy,165955
3,347.0,Lancaster,293726
4,109.1,Hall,60223
5,78.2,Dakota,20902
6,67.7,Dodge,36742
7,61.0,Madison,35103
8,55.6,Adams,31396
9,51.5,Washington,20264
10,49.4,Scotts Bluff,36844
11,48.6,Buffalo,47388
12,47.5,Platte,32485
13,44.7,Cass,25315
14,29.4,Seward,16939
15,27.5,Saunders,20867
16,25.5,Gage,21889
17,25.4,Otoe,15750
18,25.2,Colfax,10512
19,24.8,Saline,14317
20,24.0,York,13797
21,23.7,Dawson,24205
22,21.4,Wayne,9488
23,17.6,Nemaha,7214
24,17.5,Thurston,6934
25,17.0,Phelps,9189
26,16.6,Hamilton,9098
27,15.8,Cuming,9081
28,15.8,Merrick,7790
29,15.3,Red Willow,10993
30,14.9,Richardson,8237
31,14.2,Stanton,6112
32,14.1,Butler,8312
33,14.0,Lincoln,36054
34,13.7,Johnson,5178
35,13.5,Burt,6690
36,13.0,Jefferson,7505
37,12.7,Kearney,6560
38,12.5,Pierce,7201
39,12.2,Dixon,5900
40,12.0,Polk,5307
41,11.7,Cedar,8736
42,11.2,Clay,6425
43,11.0,Howard,6315
44,10.5,Box Butte,11308
45,10.0,Fillmore,5767
46,9.0,Thayer,5194
47,8.4,Cheyenne,10044
48,8.2,Nance,3667
49,7.9,Boone,5404
50,7.7,Nuckolls,4431
51,7.6,Antelope,6531
52,7.5,Knox,8573
53,7.5,Valley,4269
54,7.4,Keith,8206
55,6.8,Furnas,4908
56,6.5,Dawes,9141
57,6.5,Webster,3733
58,6.4,Pawnee,2754
59,6.0,Harlan,3462
60,5.5,Franklin,3161
61,5.5,Sherman,3120
62,4.4,Chase,3990
63,4.4,Deuel,1951
64,4.4,Greeley,2500
65,4.3,Gosper,1997
66,4.3,Holt,10432
67,4.2,Custer,10820
68,4.0,Hitchcock,2884
69,3.9,Kimball,3760
70,3.8,Boyd,2067
71,3.4,Morrill,4918
72,3.4,Garfield,1954
73,3.3,Perkins,2938
74,2.6,Frontier,2540
75,2.5,Brown,3090
76,2.2,Sheridan,5342
77,2.1,Dundy,1966
78,1.6,Hayes,1145
79,1.5,Wheeler,848
80,1.4,Rock,1436
81,1.3,Logan,736
82,1.1,Garden,1939
83,1.1,Banner,788
84,1.0,Thomas,747
85,1.0,Loup,559
86,1.0,Keya Paha,741
87,1.0,Cherry,5749
88,1.0,Hooker,688
89,0.8,Blaine,594
90,0.8,Grant,649
91,0.7,Arthur,476
92,0.6,Sioux,1279
93,0.5,Mcpherson,426
