Rank,Population Density (per sq mi),County,Population
1,10509.5,Hudson,654878
2,6091.3,Essex,789616
3,5173.0,Union,545236
4,3731.5,Bergen,920456
5,2564.1,Passaic,505403
6,2552.6,Middlesex,824046
7,2255.4,Camden,512632
8,1614.4,Mercer,369526
9,1078.2,Somerset,328704
10,1032.1,Morris,497103
11,946.5,Monmouth,629702
12,859.2,Gloucester,289705
13,635.1,Ocean,581413
14,549.1,Burlington,450155
15,409.8,Atlantic,275325
16,296.6,Warren,107624
17,289.7,Hunterdon,126746
18,274.2,Sussex,146888
19,232.3,Cumberland,157429
20,175.9,Salem,65501
21,155.2,Cape May,96286
