Rank,Population Density (per sq mi),County,Population
1,575.3,Bernalillo,671429
2,164.5,Los Alamos,17974
3,76.6,Santa Fe,146361
4,71.6,Valencia,76480
5,55.8,Dona Ana,212942
6,36.4,Sandoval,135191
7,35.6,Curry,50173
8,23.0,San Juan,127358
9,15.2,Lea,66876
10,14.9,Taos,32956
11,13.4,Mckinley,73082
12,13.1,Eddy,54834
13,10.8,Chaves,65850
14,9.9,Otero,65415
15,8.4,Luna,24947
16,8.2,Roosevelt,20065
17,7.4,Grant,29303
18,6.8,Rio Arriba,40155
19,6.1,San Miguel,28899
20,6.0,Cibola,27392
21,4.8,Torrance,16037
22,4.2,Lincoln,20162
23,3.5,Colfax,13264
24,3.1,Quay,8822
25,2.8,Sierra,11774
26,2.6,Socorro,17608
27,2.4,Mora,4722
28,1.5,Guadalupe,4594
29,1.4,Hidalgo,4734
30,1.2,Union,4413
31,0.8,De Baca,1967
32,0.5,Catron,3651
33,0.3,Harding,655
