Rank,Population Density (per sq mi),County,Population
1,1774.1,Mecklenburg,968500
2,1111.0,Wake,952513
3,948.2,Durham,282422
4,867.8,Forsyth,358130
5,761.7,Guilford,500899
6,638.6,New Hanover,209586
7,572.3,Gaston,208379
8,507.2,Cabarrus,184855
9,492.1,Cumberland,324002
10,373.6,Catawba,154457
11,370.5,Buncombe,244599
12,353.6,Alamance,153713
13,342.0,Orange,137275
14,327.4,Union,209387
15,289.5,Henderson,108642
16,288.4,Davidson,163545
17,273.1,Iredell,162999
18,264.0,Rowan,138246
19,263.3,Pitt,172438
20,257.4,Lincoln,79041
21,228.1,Lee,59096
22,222.8,Wayne,124093
23,220.4,Johnston,175343
24,218.1,Wilson,81499
25,208.1,Cleveland,97464
26,202.5,Harnett,121789
27,201.9,Onslow,182921
28,180.2,Randolph,142276
29,175.3,Nash,95174
30,175.1,Burke,90164
31,173.2,Caldwell,82140
32,166.8,Vance,44998
33,165.6,Watauga,51903
34,161.7,Rockingham,92602
35,155.0,Davie,41411
36,149.6,Stanly,60553
37,146.7,Lenoir,59095
38,141.9,Robeson,134913
39,141.0,Alexander,37175
40,139.0,Pasquotank,40233
41,136.8,Surry,73391
42,135.1,Craven,104574
43,128.3,Moore,90579
44,127.5,Hoke,50034
45,124.8,Franklin,61723
46,118.7,Rutherford,67181
47,112.9,Yadkin,38101
48,112.5,Scotland,36034
49,110.1,Edgecombe,55779
50,108.0,Granville,57955
51,107.5,Brunswick,112907
52,106.4,Haywood,59012
53,102.8,Stokes,46858
54,100.9,Mcdowell,44982
55,97.3,Person,39303
56,96.5,Richmond,46317
57,93.1,Chatham,66050
58,91.3,Wilkes,69093
59,86.6,Transylvania,32943
60,85.3,Polk,20352
61,82.1,Jackson,40598
62,80.2,Greene,21353
63,73.6,Halifax,53803
64,72.4,Duplin,59455
65,71.8,Avery,17739
66,69.3,Mitchell,15380
67,67.9,Hertford,24460
68,67.4,Sampson,63842
69,65.1,Macon,33840
70,63.3,Ashe,27173
71,63.0,Chowan,14703
72,60.3,Columbus,57512
73,58.2,Cherokee,27156
74,58.1,Pender,54218
75,56.4,Yancey,17662
76,55.1,Montgomery,27626
77,54.5,Caswell,23357
78,51.9,Martin,23947
79,50.6,Carteret,67851
80,49.7,Beaufort,47587
81,49.0,Anson,26309
82,48.1,Clay,10616
83,46.5,Warren,20628
84,46.4,Madison,20951
85,46.4,Alleghany,10974
86,46.0,Currituck,24212
87,41.1,Perquimans,13507
88,39.4,Bladen,34915
89,38.7,Northampton,21310
90,34.4,Gates,11877
91,32.6,Camden,10127
92,30.3,Washington,12837
93,29.0,Graham,8743
94,27.9,Bertie,20677
95,26.0,Swain,14070
96,23.0,Pamlico,13062
97,22.1,Dare,34530
98,21.5,Jones,10184
99,7.1,Tyrrell,4219
100,4.0,Hyde,5757
