Rank,Population Density (per sq mi),County,Population
1,89.4,Cass,158041
2,51.6,Burleigh,86111
3,47.3,Grand Forks,68144
4,32.0,Ward,65854
5,20.2,Stark,27038
6,15.3,Rolette,14341
7,14.6,Morton,28428
8,12.6,Williams,27066
9,11.3,Richland,16307
10,9.4,Traill,8106
11,9.2,Stutsman,21056
12,8.9,Ramsey,11522
13,8.5,Walsh,11052
14,7.7,Mercer,8532
15,7.3,Barnes,11096
16,6.5,Pembina,7266
17,6.3,Ransom,5452
18,5.2,Foster,3364
19,4.7,Benson,6764
20,4.6,Dickey,5234
21,4.5,Mountrail,8743
22,4.5,Sargent,3863
23,4.1,Pierce,4402
24,4.0,Mclean,9299
25,3.9,Bottineau,6579
26,3.8,Sioux,4317
27,3.7,Eddy,2379
28,3.6,Lamoure,4127
29,3.3,Griggs,2348
30,3.3,Wells,4210
31,3.1,Nelson,3078
32,3.0,Mchenry,5711
33,2.9,Mckenzie,8333
34,2.9,Renville,2546
35,2.8,Mcintosh,2788
36,2.8,Steele,1982
37,2.7,Bowman,3192
38,2.6,Cavalier,3922
39,2.5,Oliver,1832
40,2.4,Adams,2339
41,2.3,Hettinger,2575
42,2.2,Emmons,3491
43,2.2,Towner,2292
44,1.9,Logan,1955
45,1.9,Dunn,3965
46,1.9,Burke,2145
47,1.8,Golden Valley,1812
48,1.7,Divide,2239
49,1.7,Kidder,2434
50,1.4,Grant,2363
51,1.3,Sheridan,1320
52,0.7,Billings,855
53,0.6,Slope,715
