Rank,Population Density (per sq mi),County,Population
1,2203.4,Franklin,1197592
2,1946.7,Hamilton,803272
3,1289.0,Summit,541464
4,1151.8,Montgomery,534801
5,1017.6,Cuyahoga,1267513
6,789.5,Butler,371154
7,735.3,Lucas,438167
8,646.1,Stark,375090
9,554.5,Mahoning,235809
10,534.3,Warren,217623
11,433.8,Clermont,199450
12,411.5,Medina,174091
13,397.6,Delaware,181821
14,392.3,Greene,163313
15,341.1,Clark,137303
16,327.6,Lorain,302465
17,326.1,Trumbull,207596
18,320.5,Portage,161553
19,291.1,Fairfield,148067
20,259.5,Allen,105562
21,251.8,Miami,103145
22,245.6,Richland,122813
23,244.2,Licking,167911
24,234.5,Lake,229602
25,229.8,Geauga,93819
26,206.5,Wood,128139
27,206.5,Wayne,114978
28,199.4,Columbiana,106622
29,166.7,Jefferson,68510
30,163.7,Marion,66171
31,162.1,Tuscarawas,92616
32,144.8,Sandusky,60498
33,141.1,Hancock,75290
34,135.8,Lawrence,62100
35,128.9,Belmont,69793
36,127.8,Muskingum,85947
37,127.5,Athens,64840
38,127.4,Scioto,78520
39,124.7,Ashland,53202
40,122.1,Erie,76416
41,121.5,Union,53090
42,119.7,Shelby,49165
43,119.6,Huron,59186
44,115.3,Knox,61063
45,114.1,Auglaize,45867
46,111.9,Ross,77552
47,111.1,Pickaway,56279
48,106.9,Crawford,43036
49,104.5,Fulton,42541
50,101.8,Holmes,43176
51,101.6,Clinton,41871
52,101.5,Seneca,56100
53,98.2,Preble,41887
54,97.6,Logan,45564
55,96.1,Washington,61473
56,93.7,Defiance,38795
57,92.8,Madison,43326
58,92.2,Champaign,39628
59,90.1,Brown,44464
60,88.6,Williams,37493
61,87.6,Darke,52537
62,87.3,Perry,36000
63,86.2,Mercer,40789
64,85.9,Morrow,34991
65,78.2,Jackson,32952
66,77.6,Highland,43266
67,75.3,Guernsey,39794
68,73.4,Ashtabula,100346
69,71.5,Carroll,28539
70,70.9,Fayette,28875
71,70.7,Putnam,34256
72,70.6,Ottawa,41304
73,69.7,Van Wert,28612
74,68.7,Hocking,29111
75,67.6,Hardin,31826
76,66.9,Henry,28074
77,65.3,Gallia,30763
78,64.8,Coshocton,36768
79,64.2,Pike,28504
80,55.3,Wyandot,22535
81,54.4,Meigs,23564
82,48.3,Adams,28342
83,46.1,Paulding,19293
84,38.2,Harrison,15698
85,36.0,Noble,14561
86,35.5,Morgan,14977
87,32.1,Vinton,13319
88,31.9,Monroe,14590
