
Rank,Population Density (per sq mi),County,State,Population
1,1049.6,Tulsa,OK,616,128
2,1034.5,Oklahoma,OK,743,145
3,474.7,Cleveland,OK,264,934
4,135.6,Canadian,OK,122,832
5,126.6,Wagoner,OK,74,767
6,124.3,Rogers,OK,88,444
7,121.5,Washington,OK,51,564
8,115.9,Comanche,OK,125,647
9,113.0,Payne,OK,78,723
10,89.1,Pottawatomie,OK,70,700
11,84.0,Muskogee,OK,70,519
12,72.8,Creek,OK,70,607
13,66.2,Ottawa,OK,32,086
14,61.8,Mcclain,OK,35,860
15,61.7,Cherokee,OK,47,860
16,60.1,Mayes,OK,41,084
17,58.4,Sequoyah,OK,41,720
18,58.4,Logan,OK,43,700
19,58.2,Garfield,OK,61,663
20,57.9,Carter,OK,48,288
21,56.4,Okmulgee,OK,39,606
22,52.3,Delaware,OK,41,415
23,52.2,Pontotoc,OK,37,873
24,50.4,Stephens,OK,44,900
25,48.4,Kay,OK,45,781
26,48.1,Grady,OK,53,161
27,46.2,Bryan,OK,43,595
28,39.8,Seminole,OK,25,460
29,38.8,Adair,OK,22,380
30,37.4,Marshall,OK,15,964
31,35.6,Lincoln,OK,34,366
32,33.7,Garvin,OK,27,421
33,32.8,Pittsburg,OK,45,220
34,32.7,Jackson,OK,26,275
35,32.1,Murray,OK,13,656
36,31.1,Le Flore,OK,50,048
37,28.5,Mcintosh,OK,20,334
38,28.4,Custer,OK,28,506
39,27.9,Pawnee,OK,16,566
40,25.4,Beckham,OK,22,941
41,22.9,Caddo,OK,29,551
42,20.8,Osage,OK,47,937
43,20.5,Haskell,OK,12,839
44,19.5,Okfuskee,OK,12,260
45,19.4,Craig,OK,14,792
46,19.0,Choctaw,OK,15,175
47,18.2,Nowata,OK,10,555
48,18.0,Love,OK,9,574
49,17.4,Mccurtain,OK,33,164
50,17.0,Hughes,OK,13,840
51,16.8,Kingfisher,OK,15,202
52,16.8,Johnston,OK,11,043
53,16.6,Woodward,OK,20,697
54,15.5,Noble,OK,11,498
55,15.0,Latimer,OK,10,921
56,14.1,Atoka,OK,13,958
57,11.5,Washita,OK,11,622
58,11.3,Coal,OK,5,877
59,10.5,Texas,OK,21,495
60,10.5,Blaine,OK,9,832
61,9.6,Cotton,OK,6,157
62,9.5,Greer,OK,6,144
63,9.1,Kiowa,OK,9,379
64,8.9,Tillman,OK,7,811
65,8.2,Jefferson,OK,6,377
66,8.0,Major,OK,7,639
67,8.0,Pushmataha,OK,11,315
68,6.9,Woods,OK,8,958
69,6.5,Alfalfa,OK,5,703
70,5.4,Harmon,OK,2,883
71,4.8,Dewey,OK,4,817
72,4.5,Grant,OK,4,523
73,3.6,Harper,OK,3,747
74,3.3,Ellis,OK,4,113
75,3.3,Roger Mills,OK,3,743
76,3.1,Beaver,OK,5,581
77,1.3,Cimarron,OK,2,390
