Rank,Population Density (per sq mi),County,State,Population
1,1626.6,Multnomah,OR,757,371
2,753.6,Washington,OR,547,451
3,268.7,Marion,OR,320,448
4,204.3,Clackamas,OR,384,697
5,139.9,Yamhill,OR,100,486
6,126.8,Benton,OR,86,034
7,102.8,Polk,OR,76,464
8,75.1,Lane,OR,354,764
9,73.7,Jackson,OR,206,583
10,71.7,Columbia,OR,49,325
11,53.4,Deschutes,OR,163,141
12,51.2,Linn,OR,118,270
13,50.6,Josephine,OR,83,021
14,42.4,Hood River,OR,22,620
15,38.6,Lincoln,OR,46,138
16,34.7,Coos,OR,62,678
17,34.3,Clatsop,OR,37,236
18,23.7,Umatilla,OR,76,645
19,20.9,Douglas,OR,107,156
20,19.0,Tillamook,OR,25,334
21,12.6,Union,OR,25,736
22,12.2,Jefferson,OR,21,830
23,11.2,Curry,OR,22,341
24,10.8,Klamath,OR,65,985
25,10.6,Wasco,OR,25,387
26,7.0,Crook,OR,20,798
27,5.5,Morrow,OR,11,217
28,5.2,Baker,OR,16,049
29,3.1,Malheur,OR,30,740
30,2.2,Wallowa,OR,6,893
31,2.2,Sherman,OR,1,790
32,1.6,Grant,OR,7,325
33,1.6,Gilliam,OR,1,926
34,0.9,Lake,OR,7,854
35,0.8,Wheeler,OR,1,357
36,0.7,Harney,OR,7,253
