Rank,Population Density (per sq mi),County,State,Population
1,587.6,Greenville,SC,467,087
2,510.2,Richland,SC,393,707
3,356.7,Lexington,SC,270,263
4,352.4,Spartanburg,SC,288,728
5,338.1,York,SC,235,285
6,269.3,Charleston,SC,365,674
7,250.5,Anderson,SC,189,763
8,248.0,Dorchester,SC,142,772
9,233.5,Pickens,SC,119,577
10,225.7,Horry,SC,283,280
11,182.4,Beaufort,SC,168,453
12,171.8,Florence,SC,138,058
13,158.0,Sumter,SC,107,782
14,153.6,Berkeley,SC,188,835
15,150.8,Aiken,SC,162,991
16,150.6,Greenwood,SC,69,708
17,143.2,Lancaster,SC,79,515
18,140.3,Cherokee,SC,55,707
19,120.3,Darlington,SC,68,161
20,110.8,Oconee,SC,74,656
21,91.7,Laurens,SC,66,390
22,84.2,Kershaw,SC,62,342
23,80.9,Orangeburg,SC,91,262
24,77.5,Dillon,SC,31,529
25,65.6,Marion,SC,32,411
26,58.4,Georgetown,SC,60,389
27,58.3,Marlboro,SC,28,294
28,58.1,Newberry,SC,37,593
29,57.5,Chesterfield,SC,46,333
30,55.8,Chester,SC,32,708
31,54.9,Union,SC,28,329
32,52.4,Edgefield,SC,26,573
33,49.5,Clarendon,SC,34,439
34,49.1,Abbeville,SC,25,100
35,45.5,Lee,SC,18,708
36,43.2,Saluda,SC,19,973
37,40.0,Barnwell,SC,22,287
38,39.6,Bamberg,SC,15,649
39,38.3,Calhoun,SC,15,031
40,37.2,Jasper,SC,26,042
41,36.7,Hampton,SC,20,670
42,35.8,Williamsburg,SC,33,560
43,33.7,Colleton,SC,38,247
44,32.9,Fairfield,SC,23,382
45,25.4,McCormick,SC,10,003
46,24.3,Allendale,SC,10,027
