Rank,Population Density (per sq mi),County,State,Population
1,216.3,Minnehaha,SD,176,014
2,83.6,Lincoln,SD,48,326
3,45.2,Davison,SD,19,730
4,42.4,Yankton,SD,22,580
5,40.6,Brookings,SD,32,647
6,38.5,Codington,SD,27,598
7,37.6,Pennington,SD,104,574
8,33.5,Clay,SD,13,968
9,31.6,Union,SD,14,751
10,30.6,Lawrence,SD,24,478
11,21.7,Hughes,SD,17,379
12,21.7,Brown,SD,37,528
13,20.6,Lake,SD,11,831
14,14.2,Beadle,SD,17,922
15,13.5,Turner,SD,8,339
16,12.4,Moody,SD,6,445
17,12.1,Bon Homme,SD,7,032
18,11.1,Hamlin,SD,5,949
19,10.6,Grant,SD,7,281
20,9.7,Mccook,SD,5,615
21,9.1,Roberts,SD,10,303
22,8.9,Hutchinson,SD,7,221
23,8.0,Charles Mix,SD,9,209
24,7.8,Hanson,SD,3,392
25,7.5,Meade,SD,26,108
26,7.4,Walworth,SD,5,498
27,7.1,Todd,SD,9,859
28,6.9,Douglas,SD,2,990
29,6.8,Deuel,SD,4,340
30,6.7,Shannon,SD,14,005
31,6.3,Brule,SD,5,311
32,6.0,Kingsbury,SD,5,141
33,5.4,Custer,SD,8,358
34,5.3,Marshall,SD,4,668
35,5.2,Day,SD,5,664
36,4.5,Butte,SD,10,259
37,4.3,Spink,SD,6,552
38,4.1,Buffalo,SD,2,013
39,4.1,Sanborn,SD,2,341
40,4.1,Miner,SD,2,340
41,4.0,Gregory,SD,4,235
42,4.0,Fall River,SD,6,957
43,3.9,Jerauld,SD,2,051
44,3.8,Aurora,SD,2,729
45,3.8,Clark,SD,3,631
46,3.5,Edmunds,SD,4,036
47,3.4,Tripp,SD,5,549
48,2.9,Bennett,SD,3,440
49,2.6,Potter,SD,2,312
50,2.4,Faulk,SD,2,371
51,2.3,Hand,SD,3,344
52,2.3,Dewey,SD,5,510
53,2.2,Lyman,SD,3,831
54,2.1,Mcpherson,SD,2,401
55,2.0,Stanley,SD,2,984
56,1.9,Campbell,SD,1,440
57,1.7,Jackson,SD,3,180
58,1.7,Hyde,SD,1,460
59,1.6,Corson,SD,4,122
60,1.6,Mellette,SD,2,084
61,1.4,Ziebach,SD,2,837
62,1.4,Sully,SD,1,461
63,1.1,Haakon,SD,2,092
64,1.0,Perkins,SD,3,024
65,0.8,Jones,SD,805
66,0.5,Harding,SD,1,263
