Rank,Population Density (per sq mi),County,State,Population
1,1232.2,Davidson,TN,648,048
2,1192.5,Shelby,TN,936,130
3,838.1,Knox,TN,440,732
4,598.7,Hamilton,TN,344,772
5,441.4,Rutherford,TN,275,461
6,378.4,Washington,TN,124,798
7,365.0,Sullivan,TN,156,850
8,357.6,Hamblen,TN,62,863
9,334.7,Montgomery,TN,182,015
10,332.2,Williamson,TN,193,921
11,306.8,Sumner,TN,166,636
12,304.7,Bradley,TN,101,004
13,219.6,Blount,TN,124,435
14,218.5,Anderson,TN,75,346
15,205.0,Wilson,TN,119,584
16,201.1,Loudon,TN,49,749
17,181.9,Putnam,TN,73,237
18,176.1,Madison,TN,98,364
19,166.0,Jefferson,TN,52,166
20,164.8,Carter,TN,57,298
21,154.9,Sevier,TN,92,561
22,140.7,Robertson,TN,67,024
23,135.2,Roane,TN,53,413
24,134.4,Maury,TN,82,729
25,129.8,Tipton,TN,61,433
26,128.1,Cheatham,TN,39,324
27,122.3,Coffee,TN,53,151
28,121.3,Mcminn,TN,52,409
29,113.6,Hawkins,TN,56,741
30,109.9,Greene,TN,68,596
31,102.0,Dickson,TN,50,115
32,97.5,Unicoi,TN,18,175
33,96.2,Bedford,TN,45,660
34,95.9,Rhea,TN,32,272
35,91.9,Warren,TN,39,867
36,83.3,Cumberland,TN,57,064
37,82.4,Marshall,TN,30,977
38,82.2,Gibson,TN,49,632
39,81.0,Campbell,TN,40,361
40,80.0,Cocke,TN,35,453
41,77.4,Union,TN,19,139
42,75.1,Grainger,TN,22,724
43,73.5,Macon,TN,22,582
44,72.5,Dyer,TN,38,156
45,72.1,Claiborne,TN,31,841
46,71.3,Franklin,TN,41,069
47,69.0,Monroe,TN,45,002
48,68.8,White,TN,26,086
49,68.1,Lawrence,TN,42,084
50,67.4,Trousdale,TN,7,859
51,60.4,Chester,TN,17,270
52,59.8,Johnson,TN,18,089
53,59.6,Weakley,TN,34,699
54,58.7,Lincoln,TN,33,498
55,58.7,Smith,TN,19,092
56,57.7,Dekalb,TN,18,968
57,56.5,Obion,TN,31,378
58,55.2,Marion,TN,28,261
59,54.9,Crockett,TN,14,599
60,54.7,Fayette,TN,38,664
61,54.4,Lauderdale,TN,27,619
62,54.4,Henry,TN,32,279
63,54.2,Sequatchie,TN,14,431
64,54.0,Meigs,TN,11,694
65,53.2,Henderson,TN,27,963
66,51.9,Cannon,TN,13,786
67,50.8,Overton,TN,22,109
68,48.7,Moore,TN,6,348
69,47.6,Giles,TN,29,064
70,47.5,Carroll,TN,28,511
71,46.4,Mcnairy,TN,26,138
72,43.6,Hardin,TN,25,969
73,42.5,Lewis,TN,12,010
74,41.8,Morgan,TN,21,866
75,41.5,Scott,TN,22,104
76,40.4,Houston,TN,8,356
77,39.8,Lake,TN,7,725
78,39.8,Hickman,TN,24,354
79,39.6,Hardeman,TN,26,560
80,37.8,Polk,TN,16,715
81,37.6,Grundy,TN,13,574
82,37.5,Benton,TN,16,345
83,36.2,Jackson,TN,11,555
84,35.9,Fentress,TN,17,922
85,34.4,Haywood,TN,18,389
86,33.9,Decatur,TN,11,675
87,32.9,Humphreys,TN,18,322
88,32.6,Bledsoe,TN,13,240
89,30.1,Clay,TN,7,802
90,30.0,Hancock,TN,6,706
91,29.2,Pickett,TN,5,101
92,27.0,Stewart,TN,13,311
93,23.1,Wayne,TN,16,967
94,20.3,Van Buren,TN,5,578
95,18.6,Perry,TN,7,851
