Rank,Population Density (per sq mi),County,State,Population
1,1317.5,Salt Lake,UT,1063,670
2,501.0,Davis,UT,317,646
3,358.4,Weber,UT,236,307
4,252.1,Utah,UT,540,425
5,98.9,Cache,UT,115,954
6,59.6,Washington,UT,144,844
7,21.2,Wasatch,UT,25,550
8,20.1,Summit,UT,37,877
9,17.6,Sanpete,UT,28,129
10,16.3,Morgan,UT,9,955
11,14.2,Carbon,UT,21,118
12,14.2,Iron,UT,46,725
13,10.8,Sevier,UT,20,812
14,8.2,Tooele,UT,59,973
15,7.7,Uintah,UT,34,576
16,7.5,Box Elder,UT,50,613
17,6.0,Duchesne,UT,19,378
18,3.0,Juab,UT,10,349
19,2.5,Grand,UT,9,348
20,2.5,Beaver,UT,6,514
21,2.5,Piute,UT,1,921
22,2.4,Emery,UT,10,834
23,2.1,Rich,UT,2,285
24,1.9,San Juan,UT,14,944
25,1.8,Millard,UT,12,582
26,1.8,Kane,UT,7,221
27,1.1,Wayne,UT,2,742
28,1.0,Daggett,UT,714
29,1.0,Garfield,UT,5,105
