Rank,Population Density (per sq mi),County,State,Population
1,801.5,Milwaukee,WI,953,401
2,676.0,Waukesha,WI,392,511
3,410.4,Brown,WI,252,698
4,406.2,Dane,WI,502,984
5,304.2,Washington,WI,132,526
6,291.1,Winnebago,WI,168,413
7,277.9,Outagamie,WI,179,139
8,246.2,Racine,WI,195,039
9,242.7,La Crosse,WI,116,470
10,221.8,Kenosha,WI,167,268
11,221.0,Rock,WI,160,465
12,178.5,Walworth,WI,102,920
13,155.9,Eau Claire,WI,100,607
14,144.5,Jefferson,WI,84,201
15,132.8,Fond Du Lac,WI,101,709
16,124.7,Calumet,WI,49,502
17,116.1,Saint Croix,WI,85,442
18,97.7,Dodge,WI,88,589
19,91.7,Wood,WI,74,261
20,90.6,Sheboygan,WI,115,168
21,85.6,Marathon,WI,134,886
22,85.5,Portage,WI,70,337
23,77.9,Ozaukee,WI,86,930
24,73.9,Sauk,WI,62,681
25,71.2,Columbia,WI,56,659
26,69.0,Pierce,WI,40,859
27,68.2,Waupaca,WI,52,212
28,63.3,Green,WI,36,971
29,60.6,Chippewa,WI,63,051
30,54.1,Manitowoc,WI,80,805
31,51.4,Barron,WI,45,718
32,51.0,Dunn,WI,44,045
33,50.0,Green Lake,WI,19,001
34,49.7,Monroe,WI,45,116
35,45.8,Shawano,WI,41,697
36,45.7,Polk,WI,43,698
37,43.3,Grant,WI,51,272
38,39.5,Trempealeau,WI,29,274
39,38.3,Waushara,WI,24,409
40,36.9,Vernon,WI,30,124
41,33.1,Juneau,WI,26,607
42,32.8,Marquette,WI,15,224
43,32.6,Oconto,WI,37,483
44,31.5,Lincoln,WI,28,566
45,30.9,Iowa,WI,23,754
46,30.3,Richland,WI,17,842
47,29.9,Adams,WI,20,604
48,29.7,Pepin,WI,7,390
49,29.7,Douglas,WI,43,901
50,28.9,Oneida,WI,35,754
51,28.4,Clark,WI,34,575
52,27.6,Crawford,WI,16,525
53,26.8,Marinette,WI,41,488
54,26.5,Lafayette,WI,16,847
55,22.2,Langlade,WI,19,706
56,21.0,Vilas,WI,21,368
57,20.9,Taylor,WI,20,596
58,20.5,Jackson,WI,20,543
59,18.9,Kewaunee,WI,20,545
60,18.8,Buffalo,WI,13,374
61,18.5,Washburn,WI,15,785
62,17.5,Burnett,WI,15,387
63,15.5,Rusk,WI,14,468
64,12.2,Sawyer,WI,16,516
65,12.0,Menominee,WI,4,382
66,11.7,Door,WI,27,789
67,10.9,Price,WI,
