Rank,Population Density (per sq mi),County,State,Population
1,35.1,Laramie,WY,94,412
2,14.6,Natrona,WY,78,667
3,11.7,Sheridan,WY,29,578
4,10.1,Uinta,WY,20,989
5,9.9,Campbell,WY,47,448
6,8.6,Albany,WY,37,220
7,6.1,Goshen,WY,13,555
8,5.2,Teton,WY,21,956
9,4.4,Lincoln,WY,18,180
10,4.4,Fremont,WY,40,739
11,4.3,Sweetwater,WY,44,595
12,4.1,Platte,WY,8,730
13,4.1,Park,WY,28,735
14,3.8,Washakie,WY,8,444
15,3.7,Big Horn,WY,11,827
16,3.3,Converse,WY,13,991
17,3.0,Weston,WY,7,135
18,2.5,Crook,WY,7,155
19,2.4,Hot Springs,WY,4,826
20,2.1,Sublette,WY,10,183
21,2.1,Johnson,WY,8,599
22,2.0,Carbon,WY,15,795
23,0.9,Niobrara,WY,2,492
